"Reference","Value","Datasheet","Footprint","Qty","DNP","DigiKey Link","DigiKey Part Number","Manufacturer","Manufacturer Product Number"
"R2,R3,R9,R10,R17,R18","1k","~","Resistor_SMD:R_0402_1005Metric","6","","https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-2RKF1001X/79729","P1.00KLCT-ND","Panasonic Electronic Components","ERJ-2RKF1001X"
"R5","DNP","~","Resistor_SMD:R_0402_1005Metric","1","DNP","","","",""
"R7,R8","27R","~","Resistor_SMD:R_0402_1005Metric","2","","https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-2RKF27R0X/1746179","P27.0LCT-ND","Panasonic Electronic Components","ERJ-2RKF27R0X"
"R11","5.1k","~","Resistor_SMD:R_0402_1005Metric","1","","https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-2GEJ512X/147044","P5.1KJCT-ND","Panasonic Electronic Components","ERJ-2GEJ512X"
"RST1","RST","~","Resistor_SMD:R_0402_1005Metric","1","DNP","","","",""
"U1","RP2040","https://datasheets.raspberrypi.org/rp2040/rp2040-datasheet.pdf","RP2040:RP2040-QFN-56","1","","https://www.digikey.in/en/products/detail/raspberry-pi/SC0914-13/14306010?s=N4IgTCBcDaIEoAUwAYAsyQF0C%2BQ","2648-SC0914(13)CT-ND","Raspberry Pi","SC0914(13)"
"U2","W25Q16JVUXIQ_TR","https://componentsearchengine.com/Datasheets/1/W25Q16JVUXIQ TR.pdf","SON50P300X200X60-9N","1","","https://www.digikey.in/en/products/detail/winbond-electronics/W25Q16JVUXIQ-TR/15182017","256-W25Q16JVUXIQTRCT-ND","Winbond",""
"U3","APDS-9500","","APDS-9500:ADPS-9500","1","","https://www.digikey.in/en/products/detail/broadcom-limited/APDS-9500/6685410?s=N4IgTCBcDaIIIAUAiBlAtATgKwAYcgF0BfIA","516-3579-1-ND","Broadcom Limited","APDS-9500"
"U4","ADM803SAKSZ-REEL7","ADM803SAKSZ-REEL7","ADM803SAKSZ:KS_3_ADI","1","","https://www.digikey.in/en/products/detail/analog-devices-inc/ADM803SAKSZ-REEL7/995374?s=N4IgTCBcDaIIIBECyAOADAZgMpwNJYC0BaAJQFEyAZAdhAF0BfIA","505-ADM803SAKSZ-REEL7CT-ND","Analog Devices Inc.","ADM803SAKSZ-REEL7"
"Y1","YIC-12M20P2/XT324-10/10","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","https://www.digikey.in/en/products/detail/raltron-electronics/RH100-12-000-18-2030-EXT-TR/10272648","2151-RH100-12.000-18-2030-EXT-TRCT-ND","Raltron Electronics","RH100-12.000-18-2030-EXT-TR"
